# solver	iter	edge-exp-congestion
		(s5,s2) : 0.340567671106
		(s5,s7) : 0.13662447701
		(s5,s8) : 0.349399524831
		(s5,h5) : 0.000134758133267
		(s6,s2) : 0.191066459422
		(s6,s3) : 0.309598686099
		(s6,s7) : 0.227075231399
		(s6,h6) : 0.000242094277864
		(s7,s4) : 0.190115892531
		(s7,s5) : 0.11317332591
		(s7,s6) : 0.248264628951
		(s7,h7) : 8.84196180951e-05
		(s8,s5) : 0.303299478955
		(s8,s10) : 0.0794300916824
		(s8,h8) : 0.000345953514775
		(s9,s3) : 0.321024951214
		(s9,s12) : 0.28608938468
		(s9,h9) : 0.000353195296675
		(s10,s4) : 0.0267305185894
		(s10,s8) : 0.0645386922028
		(s10,s11) : 0.0374958565665
		(s10,h10) : 4.60794233481e-05
		(s11,s4) : 0.0783902911179
		(s11,s10) : 0.0313934537189
		(s11,h11) : 0.000130178936869
		(s12,s2) : 0.576794847474
		(s12,s9) : 0.349609258969
		(s12,h12) : 0.000376777463903
		(h1,s1) : 7.55082657437e-06
		(h2,s2) : 0.00018343810223
		(h3,s3) : 0.00012889260903
		(h4,s4) : 0.000127442052066
		(h5,s5) : 0.000123728903731
		(h6,s6) : 0.000284001306444
		(h7,s7) : 9.08909309656e-05
		(h8,s8) : 0.000314744868378
		(h9,s9) : 0.000459384931624
		(h10,s10) : 3.02625682453e-05
		(h11,s11) : 0.000109783744837
		(h12,s12) : 0.000657111689944
ecmp	3	
		(s1,s2) : 0.00611467581491
		(s1,h1) : 3.40124435971e-05
		(s2,s1) : 0.0340124435971
		(s2,s5) : 0.362374204513
		(s2,s6) : 0.260249313015
		(s2,s12) : 0.355535670842
		(s2,h2) : 0.000249062633713
		(s3,s6) : 0.201050984214
		(s3,s9) : 0.149218998477
		(s3,h3) : 0.000423151414395
		(s4,s7) : 0.187408685817
		(s4,s10) : 0.0284303104877
		(s4,s11) : 0.0883363963002
		(s4,h4) : 0.00011845493041
		(s5,s2) : 0.32426880923
		(s5,s7) : 0.134056020253
		(s5,s8) : 0.278827104796
		(s5,h5) : 0.000107496351639
		(s6,s2) : 0.177040516217
		(s6,s3) : 0.302729197765
		(s6,s7) : 0.219336416074
		(s6,h6) : 0.000269365440085
		(s7,s4) : 0.191845401261
		(s7,s5) : 0.0964947645159
		(s7,s6) : 0.250884350567
		(s7,h7) : 9.09050575519e-05
		(s8,s5) : 0.31315932509
		(s8,s10) : 0.0791408052337
		(s8,h8) : 0.000267146271765
		(s9,s3) : 0.347540900857
		(s9,s12) : 0.276451162746
		(s9,h9) : 0.000356733351126
		(s10,s4) : 0.0275556526084
		(s10,s8) : 0.0547241731153
		(s10,s11) : 0.03569766841
		(s10,h10) : 4.57039137061e-05
		(s11,s4) : 0.0834301027242
		(s11,s10) : 0.028459627471
		(s11,h11) : 0.00012403406471
		(s12,s2) : 0.564472384502
		(s12,s9) : 0.36884000356
		(s12,h12) : 0.000385452337737
		(h1,s1) : 6.11467581491e-06
		(h2,s2) : 0.000189337879916
		(h3,s3) : 0.000123151298463
		(h4,s4) : 0.000119799166421
		(h5,s5) : 7.26199917992e-05
		(h6,s6) : 0.000256286922346
		(h7,s7) : 8.93284517527e-05
		(h8,s8) : 0.000325895124177
		(h9,s9) : 0.000462666412692
		(h10,s10) : 2.76506646474e-05
		(h11,s11) : 0.000111889730195
		(h12,s12) : 0.000686777892212
ecmp	4	
		(s1,s2) : 0.00631219939391
		(s1,h1) : 3.14055336515e-05
		(s2,s1) : 0.0314055336515
		(s2,s5) : 0.345590203632
		(s2,s6) : 0.250234810344
		(s2,s12) : 0.329328232755
		(s2,h2) : 0.000260995628312
		(s3,s6) : 0.197567075615
		(s3,s9) : 0.145263691743
		(s3,h3) : 0.000435165895994
		(s4,s7) : 0.188065160198
		(s4,s10) : 0.027499578769
		(s4,s11) : 0.0914970155558
		(s4,h4) : 0.000112819192409
		(s5,s2) : 0.308427517646
		(s5,s7) : 0.132160591688
		(s5,s8) : 0.27069914523
		(s5,h5) : 9.83745913356e-05
		(s6,s2) : 0.177370362373
		(s6,s3) : 0.310843724236
		(s6,s7) : 0.219394902394
		(s6,h6) : 0.000253421040128
		(s7,s4) : 0.189183780725
		(s7,s5) : 0.0966996770766
		(s7,s6) : 0.252807715701
		(s7,h7) : 9.45512222871e-05
		(s8,s5) : 0.291656212451
		(s8,s10) : 0.0738237798785
		(s8,h8) : 0.000261902018413
		(s9,s3) : 0.347856626784
		(s9,s12) : 0.26376804995
		(s9,h9) : 0.000338485097413
		(s10,s4) : 0.0255398121973
		(s10,s8) : 0.0529786352731
		(s10,s11) : 0.0356595854958
		(s10,h10) : 4.00447960272e-05
		(s11,s4) : 0.0815614553127
		(s11,s10) : 0.0273500592924
		(s11,h11) : 0.000127156601052
		(s12,s2) : 0.544397075847
		(s12,s9) : 0.352563076243
		(s12,h12) : 0.000354524548575
		(h1,s1) : 6.31219939391e-06
		(h2,s2) : 0.000181047253435
		(h3,s3) : 0.000119296312332
		(h4,s4) : 0.000123595898698
		(h5,s5) : 7.57157527407e-05
		(h6,s6) : 0.000260420427471
		(h7,s7) : 9.36217415084e-05
		(h8,s8) : 0.000303704230239
		(h9,s9) : 0.000452283006161
		(h10,s10) : 2.55494110534e-05
		(h11,s11) : 0.000108911514605
		(h12,s12) : 0.000658388417959
ecmp	5	
		(s1,s2) : 0.00552741933366
		(s1,h1) : 1.26962089663e-05
		(s2,s1) : 0.0126962089663
		(s2,s5) : 0.371238009009
		(s2,s6) : 0.244812916752
		(s2,s12) : 0.356273026615
		(s2,h2) : 0.000236481245061
		(s3,s6) : 0.188657082766
		(s3,s9) : 0.14472227941
		(s3,h3) : 0.000418692216575
		(s4,s7) : 0.184701213572
		(s4,s10) : 0.0294396151602
		(s4,s11) : 0.0924197236945
		(s4,h4) : 0.000101205070714
		(s5,s2) : 0.334020912221
		(s5,s7) : 0.140220429859
		(s5,s8) : 0.311547682049
		(s5,h5) : 0.000116649401138
		(s6,s2) : 0.179034599058
		(s6,s3) : 0.317696798891
		(s6,s7) : 0.214804088981
		(s6,h6) : 0.000254426845908
		(s7,s4) : 0.181308033739
		(s7,s5) : 0.106117705322
		(s7,s6) : 0.258109328962
		(s7,h7) : 9.28229505297e-05
		(s8,s5) : 0.274736632833
		(s8,s10) : 0.0723679982498
		(s8,h8) : 0.000305981936877
		(s9,s3) : 0.322601540262
		(s9,s12) : 0.26297651728
		(s9,h9) : 0.000338295441817
		(s10,s4) : 0.0223952427755
		(s10,s8) : 0.0571974310072
		(s10,s11) : 0.0362083780268
		(s10,h10) : 4.02337212737e-05
		(s11,s4) : 0.0827423033946
		(s11,s10) : 0.0304293497569
		(s11,h11) : 0.000128628101721
		(s12,s2) : 0.520285804818
		(s12,s9) : 0.336317350914
		(s12,h12) : 0.000370498899023
		(h1,s1) : 5.52741933366e-06
		(h2,s2) : 0.000182632670974
		(h3,s3) : 0.000111773239598
		(h4,s4) : 0.000121320043231
		(h5,s5) : 0.000150346078103
		(h6,s6) : 0.000274383004357
		(h7,s7) : 9.86322861412e-05
		(h8,s8) : 0.000284341454903
		(h9,s9) : 0.000442833869035
		(h10,s10) : 2.37978099163e-05
		(h11,s11) : 0.000113171653152
		(h12,s12) : 0.00060785251086
ecmp	6	
		(s1,s2) : 0.00543574029704
		(s1,h1) : 1.12672923108e-05
		(s2,s1) : 0.0112672923108
		(s2,s5) : 0.393504244529
		(s2,s6) : 0.256993058127
		(s2,s12) : 0.353435076127
		(s2,h2) : 0.000252280535673
		(s3,s6) : 0.200928906575
		(s3,s9) : 0.150985343878
		(s3,h3) : 0.000430886613255
		(s4,s7) : 0.195303652047
		(s4,s10) : 0.0355405746649
		(s4,s11) : 0.0867563442107
		(s4,h4) : 0.000108022202015
		(s5,s2) : 0.33273855873
		(s5,s7) : 0.139753324118
		(s5,s8) : 0.344446299718
		(s5,h5) : 0.000118554483076
		(s6,s2) : 0.1928771701
		(s6,s3) : 0.339753605475
		(s6,s7) : 0.223564155774
		(s6,h6) : 0.000276440471709
		(s7,s4) : 0.18232448437
		(s7,s5) : 0.113702978844
		(s7,s6) : 0.269165977368
		(s7,h7) : 9.04947283343e-05
		(s8,s5) : 0.278041055726
		(s8,s10) : 0.0706823005983
		(s8,h8) : 0.000346785417472
		(s9,s3) : 0.321804791068
		(s9,s12) : 0.266247778585
		(s9,h9) : 0.000341156611493
		(s10,s4) : 0.0310365868111
		(s10,s8) : 0.0683487139659
		(s10,s11) : 0.0335820340473
		(s10,h10) : 4.26538939625e-05
		(s11,s4) : 0.0713065943702
		(s11,s10) : 0.027260533712
		(s11,h11) : 0.000120338378258
		(s12,s2) : 0.523067330271
		(s12,s9) : 0.326138090616
		(s12,h12) : 0.000354809895977
		(h1,s1) : 5.43574029704e-06
		(h2,s2) : 0.000213361407369
		(h3,s3) : 0.000121242467165
		(h4,s4) : 0.000140955107386
		(h5,s5) : 0.000150244386544
		(h6,s6) : 0.000305547460988
		(h7,s7) : 9.70670369763e-05
		(h8,s8) : 0.000282713760113
		(h9,s9) : 0.000452085746651
		(h10,s10) : 4.21378198117e-05
		(h11,s11) : 9.85671280822e-05
		(h12,s12) : 0.000584332462152
ecmp	7	
		(s1,s2) : 0.00665505542357
		(s1,h1) : 1.23264770433e-05
		(s2,s1) : 0.0123264770433
		(s2,s5) : 0.374738938492
		(s2,s6) : 0.243066299492
		(s2,s12) : 0.35754096965
		(s2,h2) : 0.000232776637624
		(s3,s6) : 0.196868751024
		(s3,s9) : 0.15521353446
		(s3,h3) : 0.000419913181911
		(s4,s7) : 0.1903066618
		(s4,s10) : 0.0348227131615
		(s4,s11) : 0.0837596140554
		(s4,h4) : 0.000116352838998
		(s5,s2) : 0.336423749263
		(s5,s7) : 0.140615796778
		(s5,s8) : 0.336506092273
		(s5,h5) : 0.000101188139742
		(s6,s2) : 0.186198815318
		(s6,s3) : 0.332050695643
		(s6,s7) : 0.22262229662
		(s6,h6) : 0.000261695523734
		(s7,s4) : 0.187001890093
		(s7,s5) : 0.110531111273
		(s7,s6) : 0.26872008762
		(s7,h7) : 9.1311132503e-05
		(s8,s5) : 0.272342939623
		(s8,s10) : 0.0716052852795
		(s8,h8) : 0.000337031604797
		(s9,s3) : 0.320398996522
		(s9,s12) : 0.263785053815
		(s9,h9) : 0.00034982196331
		(s10,s4) : 0.0292741413663
		(s10,s8) : 0.0642902901495
		(s10,s11) : 0.0322841136903
		(s10,h10) : 4.40696818356e-05
		(s11,s4) : 0.0749112596362
		(s11,s10) : 0.0281638328482
		(s11,h11) : 0.000116043727746
		(s12,s2) : 0.510674563075
		(s12,s9) : 0.332178862169
		(s12,h12) : 0.000365402125642
		(h1,s1) : 6.65505542357e-06
		(h2,s2) : 0.00018049713922
		(h3,s3) : 0.00011954577523
		(h4,s4) : 0.000134054536919
		(h5,s5) : 0.000157120788669
		(h6,s6) : 0.000293912193179
		(h7,s7) : 0.000104019466291
		(h8,s8) : 0.000280183447277
		(h9,s9) : 0.000446613617018
		(h10,s10) : 3.53263957525e-05
		(h11,s11) : 0.000103075092484
		(h12,s12) : 0.000586929527421
ecmp	8	
		(s1,s2) : 0.00643336867789
		(s1,h1) : 1.15283041621e-05
		(s2,s1) : 0.0115283041621
		(s2,s5) : 0.3895474068
		(s2,s6) : 0.244652555772
		(s2,s12) : 0.366772859941
		(s2,h2) : 0.000239570477232
		(s3,s6) : 0.192272522847
		(s3,s9) : 0.143259026359
		(s3,h3) : 0.000423024751718
		(s4,s7) : 0.188952260216
		(s4,s10) : 0.0390641644597
		(s4,s11) : 0.082192317711
		(s4,h4) : 0.00010133775234
		(s5,s2) : 0.373030054276
		(s5,s7) : 0.150057932549
		(s5,s8) : 0.396387564789
		(s5,h5) : 7.74418229386e-05
		(s6,s2) : 0.173678356223
		(s6,s3) : 0.330163840428
		(s6,s7) : 0.202917668336
		(s6,h6) : 0.000265138926456
		(s7,s4) : 0.172145034461
		(s7,s5) : 0.111438672629
		(s7,s6) : 0.278685515511
		(s7,h7) : 8.54626796519e-05
		(s8,s5) : 0.262321777088
		(s8,s10) : 0.0705783494819
		(s8,h8) : 0.000403119538029
		(s9,s3) : 0.314283839738
		(s9,s12) : 0.275132527798
		(s9,h9) : 0.000340568510915
		(s10,s4) : 0.0249438687911
		(s10,s8) : 0.0685144437279
		(s10,s11) : 0.0327735435798
		(s10,h10) : 4.31934672768e-05
		(s11,s4) : 0.0704503591359
		(s11,s10) : 0.0293550599615
		(s11,h11) : 0.000114965861291
		(s12,s2) : 0.513252831102
		(s12,s9) : 0.327619331057
		(s12,h12) : 0.000363210803941
		(h1,s1) : 6.43336867789e-06
		(h2,s2) : 0.000185676993628
		(h3,s3) : 0.000114108620758
		(h4,s4) : 0.000144007232338
		(h5,s5) : 0.000233609518036
		(h6,s6) : 0.000256288197314
		(h7,s7) : 0.000105804041152
		(h8,s8) : 0.000271117656082
		(h9,s9) : 0.000459106521035
		(h10,s10) : 3.04277494723e-05
		(h11,s11) : 9.98054190974e-05
		(h12,s12) : 0.00056217757836
ecmp	9	
		(s1,s2) : 0.00650828861444
		(s1,h1) : 1.13816389764e-05
		(s2,s1) : 0.0113816389764
		(s2,s5) : 0.34313757421
		(s2,s6) : 0.245396893937
		(s2,s12) : 0.338350373507
		(s2,h2) : 0.000247894719218
		(s3,s6) : 0.196169089501
		(s3,s9) : 0.14101593631
		(s3,h3) : 0.000422928234934
		(s4,s7) : 0.176066413729
		(s4,s10) : 0.0304431314518
		(s4,s11) : 0.0905237870167
		(s4,h4) : 0.000109085241705
		(s5,s2) : 0.330564514849
		(s5,s7) : 0.137847535207
		(s5,s8) : 0.307690846682
		(s5,h5) : 7.31517196297e-05
		(s6,s2) : 0.156322465667
		(s6,s3) : 0.310374245917
		(s6,s7) : 0.205678988093
		(s6,h6) : 0.000256982294172
		(s7,s4) : 0.187232072229
		(s7,s5) : 0.0931648712647
		(s7,s6) : 0.259293286879
		(s7,h7) : 8.30261903876e-05
		(s8,s5) : 0.267959434464
		(s8,s10) : 0.0758057737698
		(s8,h8) : 0.000298575038786
		(s9,s3) : 0.339578470339
		(s9,s12) : 0.266015099262
		(s9,h9) : 0.000344563694398
		(s10,s4) : 0.0250047682971
		(s10,s8) : 0.0541453084838
		(s10,s11) : 0.0355721926192
		(s10,h10) : 4.46864583691e-05
		(s11,s4) : 0.074885314016
		(s11,s10) : 0.026510547118
		(s11,h11) : 0.000126095979636
		(s12,s2) : 0.508940411135
		(s12,s9) : 0.34541523777
		(s12,h12) : 0.000347016479349
		(h1,s1) : 6.50828861444e-06
		(h2,s2) : 0.000183825519582
		(h3,s3) : 0.00011016054449
		(h4,s4) : 0.00011899641936
		(h5,s5) : 0.000144992736429
		(h6,s6) : 0.000228498723532
		(h7,s7) : 0.000103123483732
		(h8,s8) : 0.000280504091854
		(h9,s9) : 0.00046372608992
		(h10,s10) : 2.66492754296e-05
		(h11,s11) : 0.000101395861134
		(h12,s12) : 0.000597006655484
ecmp	10	
		(s1,s2) : 0.00827446703613
		(s1,h1) : 1.60993773366e-05
		(s2,s1) : 0.0160993773366
		(s2,s5) : 0.299563099079
		(s2,s6) : 0.241581690324
		(s2,s12) : 0.32522897246
		(s2,h2) : 0.000281953612467
		(s3,s6) : 0.196454855725
		(s3,s9) : 0.144905903314
		(s3,h3) : 0.000416509238333
		(s4,s7) : 0.186715657703
		(s4,s10) : 0.0248570585003
		(s4,s11) : 0.0924103298286
		(s4,h4) : 0.000114481969352
		(s5,s2) : 0.313981702717
		(s5,s7) : 0.127609376796
		(s5,s8) : 0.232478663519
		(s5,h5) : 8.15090898673e-05
		(s6,s2) : 0.162788698495
		(s6,s3) : 0.304891563033
		(s6,s7) : 0.208008798597
		(s6,h6) : 0.000251769237344
		(s7,s4) : 0.19119000949
		(s7,s5) : 0.0894870350468
		(s7,s6) : 0.261385237521
		(s7,h7) : 8.64723181725e-05
		(s8,s5) : 0.290881921943
		(s8,s10) : 0.0749011124372
		(s8,h8) : 0.000219837400988
		(s9,s3) : 0.339540385083
		(s9,s12) : 0.25544876419
		(s9,h9) : 0.00034092120486
		(s10,s4) : 0.0314276363701
		(s10,s8) : 0.0550164361754
		(s10,s11) : 0.0366724917293
		(s10,h10) : 4.10437764177e-05
		(s11,s4) : 0.0840839096324
		(s11,s10) : 0.0261915414615
		(s11,h11) : 0.000129082821558
		(s12,s2) : 0.504087866222
		(s12,s9) : 0.342828213374
		(s12,h12) : 0.00034377214315
		(h1,s1) : 8.27446703613e-06
		(h2,s2) : 0.000175294017196
		(h3,s3) : 0.000113438049257
		(h4,s4) : 0.000111763459891
		(h5,s5) : 7.56467768302e-05
		(h6,s6) : 0.0002280365139
		(h7,s7) : 0.000106200767135
		(h8,s8) : 0.000298125335674
		(h9,s9) : 0.000448176237444
		(h10,s10) : 3.82106282935e-05
		(h11,s11) : 0.000110275451094
		(h12,s12) : 0.000610010486097
ecmp	11	
		(s1,s2) : 0.00796028872331
		(s1,h1) : 1.45392009715e-05
		(s2,s1) : 0.0145392009715
		(s2,s5) : 0.334187619086
		(s2,s6) : 0.242426417971
		(s2,s12) : 0.324664875641
		(s2,h2) : 0.000247883978312
		(s3,s6) : 0.209379692028
		(s3,s9) : 0.155159935604
		(s3,h3) : 0.000406523648972
		(s4,s7) : 0.193569972308
		(s4,s10) : 0.0295816122492
		(s4,s11) : 0.104336425869
		(s4,h4) : 0.000103830487455
		(s5,s2) : 0.296480751933
		(s5,s7) : 0.127094256634
		(s5,s8) : 0.272631180626
		(s5,h5) : 8.72987116873e-05
		(s6,s2) : 0.174198156827
		(s6,s3) : 0.309498339221
		(s6,s7) : 0.225571979164
		(s6,h6) : 0.000266050894062
		(s7,s4) : 0.193892743968
		(s7,s5) : 0.0982120251738
		(s7,s6) : 0.261542828861
		(s7,h7) : 9.50147529692e-05
		(s8,s5) : 0.276693799762
		(s8,s10) : 0.0742884855387
		(s8,h8) : 0.000265305713316
		(s9,s3) : 0.338421739265
		(s9,s12) : 0.260170792912
		(s9,h9) : 0.00034519250537
		(s10,s4) : 0.026461933578
		(s10,s8) : 0.0557400756512
		(s10,s11) : 0.0389829478082
		(s10,h10) : 3.98286099484e-05
		(s11,s4) : 0.0785267980562
		(s11,s10) : 0.0261728023821
		(s11,h11) : 0.000143319373677
		(s12,s2) : 0.511474003519
		(s12,s9) : 0.332874179581
		(s12,h12) : 0.00034781318811
		(h1,s1) : 7.96028872331e-06
		(h2,s2) : 0.00017358889098
		(h3,s3) : 0.000123143198118
		(h4,s4) : 0.000132437022279
		(h5,s5) : 7.44114568582e-05
		(h6,s6) : 0.000261970430414
		(h7,s7) : 0.000102426142866
		(h8,s8) : 0.00028791674234
		(h9,s9) : 0.000455750922362
		(h10,s10) : 3.09706668158e-05
		(h11,s11) : 0.000104699600438
		(h12,s12) : 0.000607325702657
ecmp	12	
		(s1,s2) : 0.00732694812119
		(s1,h1) : 1.21787985464e-05
		(s2,s1) : 0.0121787985464
		(s2,s5) : 0.342224162681
		(s2,s6) : 0.253249840674
		(s2,s12) : 0.356837632979
		(s2,h2) : 0.000276497631172
		(s3,s6) : 0.189949529668
		(s3,s9) : 0.15578354001
		(s3,h3) : 0.000425844652876
		(s4,s7) : 0.195968877938
		(s4,s10) : 0.0298665385197
		(s4,s11) : 0.0895433917393
		(s4,h4) : 9.84199562173e-05
		(s5,s2) : 0.322176002447
		(s5,s7) : 0.130179415407
		(s5,s8) : 0.280320644831
		(s5,h5) : 9.05082332045e-05
		(s6,s2) : 0.187006468967
		(s6,s3) : 0.325251981542
		(s6,s7) : 0.211288412872
		(s6,h6) : 0.000263518546199
		(s7,s4) : 0.175465965271
		(s7,s5) : 0.101834083717
		(s7,s6) : 0.266113635397
		(s7,h7) : 9.66982239981e-05
		(s8,s5) : 0.299602070315
		(s8,s10) : 0.071643707484
		(s8,h8) : 0.000273951308057
		(s9,s3) : 0.331381370499
		(s9,s12) : 0.260618847559
		(s9,h9) : 0.000362994252195
		(s10,s4) : 0.0245018620044
		(s10,s8) : 0.0550335485869
		(s10,s11) : 0.0349166303376
		(s10,h10) : 4.08018400073e-05
		(s11,s4) : 0.077911684927
		(s11,s10) : 0.0264485005372
		(s11,h11) : 0.000124460022077
		(s12,s2) : 0.527766372959
		(s12,s9) : 0.357780831605
		(s12,h12) : 0.000371507567838
		(h1,s1) : 7.32694812119e-06
		(h2,s2) : 0.000196712273558
		(h3,s3) : 0.000114944370513
		(h4,s4) : 0.000135919252212
		(h5,s5) : 7.95239791771e-05
		(h6,s6) : 0.000277752403841
		(h7,s7) : 0.000102675202166
		(h8,s8) : 0.000309842892438
		(h9,s9) : 0.000441430098638
		(h10,s10) : 2.72951343954e-05
		(h11,s11) : 0.000104360185464
		(h12,s12) : 0.000639598291864
ecmp	13	
		(s1,s2) : 0.0088662465339
		(s1,h1) : 1.48779312993e-05
		(s2,s1) : 0.0148779312993
		(s2,s5) : 0.346924495843
		(s2,s6) : 0.263221766324
		(s2,s12) : 0.352447681079
		(s2,h2) : 0.0002837843813
		(s3,s6) : 0.200635031362
		(s3,s9) : 0.152018316711
		(s3,h3) : 0.000454261297062
		(s4,s7) : 0.20871529878
		(s4,s10) : 0.0345311553528
		(s4,s11) : 0.0926513962364
		(s4,h4) : 0.000112419671665
		(s5,s2) : 0.324237333579
		(s5,s7) : 0.139099274447
		(s5,s8) : 0.286968216276
		(s5,h5) : 7.91648132354e-05
		(s6,s2) : 0.185655520662
		(s6,s3) : 0.334969683935
		(s6,s7) : 0.22699798211
		(s6,h6) : 0.000268162009815
		(s7,s4) : 0.19179531417
		(s7,s5) : 0.100122613389
		(s7,s6) : 0.275321473483
		(s7,h7) : 0.000106482993985
		(s8,s5) : 0.297658797839
		(s8,s10) : 0.079141068658
		(s8,h8) : 0.0002772317601
		(s9,s3) : 0.358207901319
		(s9,s12) : 0.267585600665
		(s9,h9) : 0.000355374153231
		(s10,s4) : 0.0266992094864
		(s10,s8) : 0.0561145406357
		(s10,s11) : 0.0356425198499
		(s10,h10) : 4.92701800341e-05
		(s11,s4) : 0.0777057373357
		(s11,s10) : 0.0260414665854
		(s11,h11) : 0.000128293916086
		(s12,s2) : 0.545680945366
		(s12,s9) : 0.361927841007
		(s12,h12) : 0.000372321583132
		(h1,s1) : 8.8662465339e-06
		(h2,s2) : 0.000196816209704
		(h3,s3) : 0.000113737059881
		(h4,s4) : 0.000152117261042
		(h5,s5) : 8.47637304663e-05
		(h6,s6) : 0.000276606925353
		(h7,s7) : 9.89098396897e-05
		(h8,s8) : 0.000310948869685
		(h9,s9) : 0.000467221497496
		(h10,s10) : 2.80127594098e-05
		(h11,s11) : 0.000103747203921
		(h12,s12) : 0.000659897087762
ecmp	14	
		(s1,s2) : 0.00848154086123
		(s1,h1) : 1.46816309988e-05
		(s2,s1) : 0.0146816309988
		(s2,s5) : 0.343636968847
		(s2,s6) : 0.26761123865
		(s2,s12) : 0.350275283332
		(s2,h2) : 0.000267335683256
		(s3,s6) : 0.214220629831
		(s3,s9) : 0.14935353001
		(s3,h3) : 0.000435069204023
		(s4,s7) : 0.223885277626
		(s4,s10) : 0.0350140076379
		(s4,s11) : 0.0989367132717
		(s4,h4) : 0.000115178329771
		(s5,s2) : 0.342742913948
		(s5,s7) : 0.149449426424
		(s5,s8) : 0.259911467084
		(s5,h5) : 0.000106772211591
		(s6,s2) : 0.166068514569
